"Työpaikat (alueella työssäkäyvät) toimialan (TOL 2008, 2-3-nro) mukaan 31.12.2008-"

"Alue";"Toimiala";"2017";"2018";"2019";"2020";"2021";"2022"
"Helsinki";"Kaikki toimialat yhteensä";397346;409246;413677;398045;416086;426738
"Helsinki";"A Maatalous, metsätalous ja kalatalous";439;388;369;314;380;403
"Helsinki";"B Kaivostoiminta ja louhinta";15;10;17;88;60;62
"Helsinki";"C Teollisuus";16941;17392;17464;17107;18096;18945
"Helsinki";"10 Elintarvikkeiden valmistus";2289;2318;2275;2393;2448;2567
"Helsinki";"11 Juomien valmistus";371;390;370;360;385;430
"Helsinki";"12 Tupakkatuotteiden valmistus";0;0;0;0;0;0
"Helsinki";"13 Tekstiilien valmistus";231;216;215;200;232;296
"Helsinki";"14 Vaatteiden valmistus";359;368;422;411;524;527
"Helsinki";"15 Nahan ja nahkatuotteiden valmistus";10;14;13;12;10;10
"Helsinki";"16 Sahatavaran sekä puu- ja korkkituotteiden valmistus (pl. huonekalut)";133;131;131;140;61;55
"Helsinki";"17 Paperin, paperi- ja kartonkituotteiden valmistus";800;848;894;967;1021;1025
"Helsinki";"18 Painaminen ja tallenteiden jäljentäminen";1171;1018;999;905;914;861
"Helsinki";"19 Koksin ja jalostettujen öljytuotteiden valmistus";1;1;1;6;6;6
"Helsinki";"20 Kemikaalien ja kemiallisten tuotteiden valmistus";701;711;658;637;676;659
"Helsinki";"21 Lääkeaineiden ja lääkkeiden valmistus";68;59;67;99;159;192
"Helsinki";"22 Kumi- ja muovituotteiden valmistus";76;74;66;110;115;107
"Helsinki";"23 Muiden ei-metallisten mineraalituotteiden valmistus";486;553;549;545;535;543
"Helsinki";"24 Metallien jalostus";224;219;252;225;243;262
"Helsinki";"25 Metallituotteiden valmistus (pl. koneet ja laitteet)";1027;1035;1069;970;1002;638
"Helsinki";"26 Tietokoneiden sekä elektronisten ja optisten tuotteiden valmistus";2066;2406;2389;2134;2316;2787
"Helsinki";"27 Sähkölaitteiden valmistus";3181;3294;3329;2949;2962;3318
"Helsinki";"28 Muiden koneiden ja laitteiden valmistus";1378;1515;1507;1586;1806;1675
"Helsinki";"29 Moottoriajoneuvojen, perävaunujen ja puoliperävaunujen valmistus";15;12;17;12;12;12
"Helsinki";"30 Muiden kulkuneuvojen valmistus";676;518;307;434;515;498
"Helsinki";"31 Huonekalujen valmistus";324;334;337;276;311;232
"Helsinki";"32 Muu valmistus";725;744;769;711;764;803
"Helsinki";"33 Koneiden ja laitteiden korjaus, huolto ja asennus";629;614;828;1025;1079;1442
"Helsinki";"D Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta";1949;1929;2006;2067;2166;1955
"Helsinki";"E Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito";1100;1133;1116;1154;1195;971
"Helsinki";"F Rakentaminen";20513;21443;21723;20625;21058;20883
"Helsinki";"41 Talonrakentaminen";10216;10608;10736;10375;10669;10816
"Helsinki";"42 Maa- ja vesirakentaminen";2229;1877;2017;1813;1779;1530
"Helsinki";"43 Erikoistunut rakennustoiminta";8068;8958;8970;8437;8610;8537
